name,online_order,book_table,rate,votes,approx_cost,restaurant_type
Catch-up-ino,Yes,No,3.9,133,800,Cafes
New Mangalore Lunch Home,No,No,3.3,6,220,Dining
Beijing Bites,Yes,No,3.7,679,850,Dining
Beijing Bites,Yes,No,3.7,701,940,Dining
Aramane Donne Biriyani,No,No,2.9,0,160,Dining
San Churro Cafe,Yes,No,3.8,849,800,Buffet
Grand Village,No,No,3.8,172,600,Buffet
Ruchi Maayaka,No,No,3.3,7,100,Dining
Smacznego,Yes,No,4.2,488,500,Cafes
Penthouse Cafe,Yes,No,4.0,334,700,Other
Coffee Tindi,Yes,No,3.8,75,200,Cafes
Smacznego,Yes,No,4.2,523,500,Cafes
The Big O Bakes,No,No,4.0,61,300,Dining
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,568,150,Dining
Roll Magic Fast Food,No,No,3.4,0,200,Dining
Chinese Kitchen,Yes,No,3.8,57,140,Dining
Szechuan Dragon,Yes,No,4.2,1647,600,Dining
Catch-up-ino,Yes,No,3.9,134,720,Cafes
Chatar Patar,No,No,3.7,59,270,Dining
Wamama,Yes,Yes,4.2,353,800,Other
Onesta,Yes,Yes,4.6,2380,600,Cafes
Thanco's Natural Ice Creams,No,No,3.2,9,270,Dining
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,720,Buffet
Cafe Shuffle,Yes,Yes,4.2,136,660,Cafes
Kaumudis Juoice,No,No,3.3,0,160,Dining
Szechuan Dragon,Yes,No,4.2,1499,540,Dining
Corner House Ice Cream,No,No,4.3,341,400,Dining
The Biryani Cafe,No,No,4.1,478,270,Dining
Timepass Dinner,Yes,No,3.8,271,540,Buffet
Grand Village,No,No,3.8,179,540,Buffet
Atithi Point Ande Ka Funda,No,No,3.1,29,150,Dining
Caf-Eleven,No,No,4.0,465,500,Cafes
Floured-Baked With Love,No,No,3.8,45,400,Dining
Fast And Fresh,Yes,No,2.8,85,360,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6,30,270,Dining
Kidambi's Kitchen,No,No,3.5,55,330,Dining
Ayda Persian Kitchen,No,No,3.7,35,950,Dining
K27 - The Pub,No,No,3.1,30,900,Dining
Biryanis And More,Yes,No,4.0,618,750,Dining
Spice 9,No,No,3.4,8,330,Dining
Srinathji's Cafe,No,No,3.8,155,500,Cafes
Jeet Restaurant,No,Yes,4.0,754,760,Dining
Anna Kuteera,Yes,No,4.0,712,450,Dining
Me And My Cake,No,No,3.7,0,450,Dining
Chinese Kitchen,Yes,No,3.8,58,160,Dining
Penthouse Cafe,Yes,No,4.0,324,700,Other
Upahar Sagar,No,No,3.8,38,320,Dining
Fast And Fresh,Yes,No,2.8,91,400,Dining
Behrouz Biryani,Yes,No,3.9,246,720,Dining
The Good Bowl,Yes,No,3.6,6,550,Dining
Kotian Karavali Restaurant,No,No,3.5,10,330,Dining
Corner House Ice Cream,No,No,4.3,378,400,Dining
Faasos,Yes,No,4.2,378,500,Other
Corner House Ice Cream,No,No,4.3,332,400,Dining
The Big O Bakes,No,No,4.0,72,330,Dining
Shree Cool Point,Yes,No,4.1,26,140,Dining
Penthouse Cafe,Yes,No,4.0,353,630,Other
Vi Ra's Bar and Restaurant,No,No,3.3,56,720,Dining
Hotboxit,No,No,3.8,34,440,Dining
San Churro Cafe,Yes,No,3.8,984,880,Cafes
Cakes & Slices,No,No,3.5,14,300,Dining
My Tea House,Yes,No,3.6,65,660,Cafes
Roving Feast,No,No,4.0,971,400,Dining
Vijayalakshmi,Yes,No,3.9,47,200,Dining
Darbar,No,No,3.0,98,800,Dining
Srinathji's Cafe,No,No,3.8,147,500,Cafes
Roving Feast,No,No,4.0,1036,500,Dining
Chickpet Donne Biryani House,No,No,3.7,22,250,Dining
Chatar Patar,No,No,3.7,69,270,Dining
Foodiction,Yes,No,2.8,489,500,Other
Aarush's Food Plaza,No,No,3.4,0,180,Dining
XO Belgian Waffle,Yes,No,3.7,16,400,Dining
Parjanya Chat Zone,No,No,3.3,17,200,Dining
Kitchen Garden,Yes,No,3.6,247,270,Dining
Darbar,No,No,3.0,99,880,Dining
The Coffee Shack,Yes,Yes,4.2,148,450,Cafes
Kadalu Sea Food Restaurant,Yes,No,3.8,142,500,Dining
Domino's Pizza,Yes,No,3.9,586,720,Dining
Goa 0 Km,Yes,Yes,3.6,155,720,Dining
Coffee Tindi,Yes,No,3.8,74,200,Cafes
Kirthi's Biryani,Yes,No,3.8,135,630,Cafes
Banashankari Nati Style,No,No,2.9,0,390,Dining
Floured-Baked With Love,No,No,3.8,42,400,Dining
Domino's Pizza,Yes,No,3.9,592,800,Dining
Tasty Bytes,Yes,No,3.1,237,270,Dining
Atithi Point Ande Ka Funda,No,No,3.1,26,150,Dining
Onesta,Yes,Yes,4.6,2791,540,Other
Anna Kuteera,Yes,No,4.0,758,400,Dining
The Vintage Cafe,Yes,No,3.0,59,400,Cafes
Ayda Persian Kitchen,No,No,3.7,38,860,Dining
Roving Feast,No,No,4.0,944,400,Dining
Chaatimes,Yes,No,3.8,131,180,Dining
Coffee Tindi,Yes,No,3.8,72,220,Cafes
Jalsa,Yes,Yes,4.1,847,720,Buffet
Timepass Dinner,Yes,No,3.8,290,600,Buffet
Empire Restaurant,Yes,No,4.4,4636,680,Other
The Biryani Cafe,No,No,4.1,569,270,Dining
Vijayalakshmi,Yes,No,3.9,42,220,Dining
Sugar Rush,No,No,3.8,42,270,Dining
Mohitesh Hut Roll,No,No,3.3,0,150,Dining
Behrouz Biryani,Yes,No,3.9,236,720,Dining
New Mangalore Lunch Home,No,No,3.3,7,220,Dining
Floured-Baked With Love,No,No,3.8,41,440,Dining
Szechuan Dragon,Yes,No,4.2,1625,600,Dining
Atithi Point Ande Ka Funda,No,No,3.1,31,160,Dining
Maruthi Davangere Benne Dosa,Yes,No,4.0,18,150,Dining
Spice 9,No,No,3.4,9,270,Dining
Shree Cool Point,Yes,No,4.1,29,150,Dining
Cake of the Day,No,No,3.7,82,150,Dining
Addhuri Udupi Bhojana,No,No,3.7,85,300,Buffet
Chaatimes,Yes,No,3.8,126,180,Dining
San Churro Cafe,Yes,No,3.8,955,720,Buffet
Rolls On Wheels,No,No,3.6,271,300,Dining
Rolls On Wheels,No,No,3.6,304,270,Dining
Anna Kuteera,Yes,No,4.0,792,500,Dining
The Vintage Cafe,Yes,No,3.0,62,360,Cafes
The Good Bowl,Yes,No,3.6,6,450,Dining
Burger King,Yes,No,3.2,76,600,Dining
Havyaka Mess,No,No,3.9,27,270,Dining
Cafe Coffee Day,No,No,3.6,30,900,Cafes
Village Café,Yes,No,4.1,403,500,Cafes
Goa 0 Km,Yes,Yes,3.6,155,800,Dining
Burger King,Yes,No,3.2,77,540,Dining
Chatar Patar,No,No,3.7,65,330,Dining
FreshMenu,Yes,No,3.9,663,400,Dining
Parimala Sweets,No,No,3.5,14,180,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8,158,550,Dining
The Big O Bakes,No,No,4.0,66,300,Dining
Recipe,Yes,No,4.0,772,450,Dining
Cafe Vivacity,Yes,No,3.8,89,580,Cafes
Polar Bear,Yes,No,3.8,77,440,Dining
Behrouz Biryani,Yes,No,3.9,230,650,Dining
Sugar Rush,No,No,3.8,40,330,Dining
Dessert Rose,No,No,3.5,8,550,Dining
Behrouz Biryani,Yes,No,3.9,221,720,Dining
Ovenstory Pizza,Yes,No,3.9,184,830,Dining
Five Star Chicken,No,No,3.6,56,200,Dining
Vi Ra's Bar and Restaurant,No,No,3.3,62,800,Dining
McDonald's,Yes,No,3.9,271,550,Dining
Cafe Shuffle,Yes,Yes,4.2,148,660,Cafes
Onesta,Yes,Yes,4.6,2422,660,Cafes
Jalsa,Yes,Yes,4.1,828,800,Buffet
Ruchi Maayaka,No,No,3.3,9,90,Dining
Biryanis And More,Yes,No,4.0,573,680,Dining
Sweet Truth,Yes,No,3.9,36,450,Dining
Cafe Shuffle,Yes,Yes,4.2,139,600,Cafes
Behrouz Biryani,Yes,No,3.9,218,650,Dining
My Tea House,Yes,No,3.6,61,600,Cafes
Grand Village,No,No,3.8,166,600,Buffet
Kolbeh,No,No,3.7,24,500,Dining
Ruchi Maayaka,No,No,3.3,8,110,Dining
Jalsa,Yes,Yes,4.1,769,720,Buffet
Darbar,No,No,3.0,92,880,Dining
Chatar Patar,No,No,3.7,65,300,Dining
McDonald's,Yes,No,3.9,306,500,Dining
Anna Kuteera,Yes,No,4.0,746,500,Dining
Chickpet Donne Biryani House,No,No,3.7,22,220,Dining
Recipe,Yes,No,4.0,804,450,Dining
Sweet Truth,Yes,No,3.9,35,500,Dining
Tasty Bytes,Yes,No,3.1,261,300,Dining
Bengaluru Coffee House,Yes,No,4.1,217,300,Dining
Shree Cool Point,Yes,No,4.1,31,160,Dining
Kitchen Garden,Yes,No,3.6,267,270,Dining
Bengaluru Coffee House,Yes,No,4.1,200,330,Dining
Parjanya Chat Zone,No,No,3.3,15,200,Dining
FreshMenu,Yes,No,3.9,684,450,Dining
Chinese Kitchen,Yes,No,3.8,59,160,Dining
Sri Murari Family Restaurant,No,No,2.9,0,250,Dining
Chinese Kitchen,Yes,No,3.8,58,150,Dining
Beijing Bites,Yes,No,3.7,684,940,Dining
K27 - The Pub,No,No,3.1,32,990,Dining
Kitchen Garden,Yes,No,3.6,233,300,Dining
Chinese Kitchen,Yes,No,3.8,54,140,Dining
Cake of the Day,No,No,3.7,78,150,Dining
San Churro Cafe,Yes,No,3.8,918,800,Cafes
Rolls On Wheels,No,No,3.6,277,330,Dining
Chaatimes,Yes,No,3.8,133,200,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4,0,160,Dining
Frozen Bottle,Yes,No,4.2,144,360,Dining
Caf-Eleven,No,No,4.0,438,400,Cafes
San Churro Cafe,Yes,No,3.8,961,880,Buffet
Corner House Ice Cream,No,No,4.3,313,400,Dining
Corner House Ice Cream,No,No,4.3,345,400,Dining
Domino's Pizza,Yes,No,3.9,520,800,Dining
Darbar,No,No,3.0,93,880,Dining
FreshMenu,Yes,No,3.9,670,450,Dining
Five Star Chicken,No,No,3.6,55,180,Dining
Onesta,Yes,Yes,4.6,2764,600,Cafes
Grand Village,No,No,3.8,182,600,Buffet
Cake of the Day,No,No,3.7,83,140,Dining
Ayda Persian Kitchen,No,No,3.7,38,1040,Dining
Onesta,Yes,Yes,4.6,2627,600,Cafes
Devanna Dum Biriyani Centre,Yes,No,3.6,26,270,Dining
Hide Out Cafe,No,No,3.7,34,330,Cafes
Spice Elephant,Yes,No,4.1,813,800,Buffet
Chill Out,No,No,3.8,0,110,Dining
Coffee Tindi,Yes,No,3.8,71,200,Cafes
New Mangalore Lunch Home,No,No,3.3,6,180,Dining
Onesta,Yes,Yes,4.6,2624,540,Cafes
Darbar,No,No,3.0,102,720,Dining
Atithi Point Ande Ka Funda,No,No,3.1,29,140,Dining
Cuppa,No,No,3.3,24,600,Cafes
Kaumudis Juoice,No,No,3.3,0,140,Dining
Spice Elephant,Yes,No,4.1,787,800,Buffet
T3H Cafe,No,No,3.9,95,300,Cafes
Jeet Restaurant,No,Yes,4.0,844,850,Dining
Cake of the Day,No,No,3.7,84,150,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8,153,500,Dining
Addhuri Udupi Bhojana,No,No,3.7,89,300,Buffet
Faasos,Yes,No,4.2,415,500,Other
Kabab Magic,Yes,No,4.1,1577,440,Dining
Cake of the Day,No,No,3.7,76,150,Dining
Biryanis And More,Yes,No,4.0,671,830,Dining
Timepass Dinner,Yes,No,3.8,306,600,Buffet
Domino's Pizza,Yes,No,3.9,501,880,Dining
Rolls On Wheels,No,No,3.6,302,270,Dining
Sweet Truth,Yes,No,3.9,34,450,Dining
Caf-Eleven,No,No,4.0,424,450,Cafes
Darbar,No,No,3.0,104,720,Dining
Goa 0 Km,Yes,Yes,3.6,170,800,Dining
Ruchi Maayaka,No,No,3.3,7,90,Dining
Onesta,Yes,Yes,4.6,2553,660,Other
FreshMenu,Yes,No,3.9,594,500,Dining
Faasos,Yes,No,4.2,381,500,Other
Peppy Peppers,No,No,4.2,226,880,Other
Jalsa,Yes,Yes,4.1,759,720,Buffet
Goa 0 Km,Yes,Yes,3.6,172,880,Dining
Chickpet Donne Biryani House,No,No,3.7,21,280,Dining
Goa 0 Km,Yes,Yes,3.6,167,800,Dining
Catch-up-ino,Yes,No,3.9,121,800,Cafes
LSD Cafe,No,No,2.9,76,700,Other
Kitchen Garden,Yes,No,3.6,228,300,Dining
Srinathji's Cafe,No,No,3.8,135,500,Cafes
Mane Thindi,No,No,3.7,121,220,Dining
Kidambi's Kitchen,No,No,3.5,52,270,Dining
Upahar Sagar,No,No,3.8,40,320,Dining
Wamama,Yes,Yes,4.2,327,880,Other
Five Star Chicken,No,No,3.6,55,200,Dining
Biryanis And More,Yes,No,4.0,656,750,Dining
Namma Brahmin's Idli,Yes,No,3.6,31,110,Dining
Caf-Eleven,No,No,4.0,419,500,Cafes
Woodee Pizza,Yes,No,3.7,180,500,Cafes
Meghana Foods,Yes,No,4.4,4287,660,Dining
Gawdaru Mane Beriyani,No,No,3.3,0,270,Dining
Grand Village,No,No,3.8,155,660,Buffet
Recipe,Yes,No,4.0,850,400,Dining
Cake Bite,No,No,3.4,0,330,Dining
Catch-up-ino,Yes,No,3.9,124,720,Cafes
The Coffee Shack,Yes,Yes,4.2,167,500,Cafes
Frozen Bottle,Yes,No,4.2,137,400,Dining
Banashankari Donne Biriyani,Yes,No,3.8,104,330,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8,141,550,Dining
Empire Restaurant,Yes,No,4.4,4670,830,Other
Darkolates,No,No,3.3,0,180,Dining
San Churro Cafe,Yes,No,3.8,1002,800,Cafes
Polar Bear,Yes,No,3.8,71,400,Dining
Krishna Sagar,No,No,3.5,31,200,Dining
Frozen Bottle,Yes,No,4.2,148,400,Dining
Chinese Kitchen,Yes,No,3.8,56,150,Dining
The Vintage Cafe,Yes,No,3.0,62,400,Cafes
The Biryani Cafe,No,No,4.1,520,300,Dining
Spice 9,No,No,3.4,8,300,Dining
The Big O Bakes,No,No,4.0,61,270,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2,10,300,Dining
